account, konto
achiever, achiever
acoustics, akustik
act, act
action, action
activity, activity
actor, schauspieler
addition, ergänzung
adjustment, berichtigung
advertisement, werbung
advice, beratung
aftermath, aftermath
afternoon, nachmittag
afterthought, nachtrag
agreement, vereinbarung
air, luft
airplane, flugzeug
airport, flughafen
alarm, alarm
amount, höhe
amusement, unterhaltung
anger, ärger
angle, winkel
animal, tier
answer, antwort
ant, ant
ants, ameisen
apparatus, geräte
apparel, bekleidung
apple, apfel
apples, äpfel
appliance, gerät
approval, zulassung
arch, arch
argument, argument
arithmetic, arithmetik
arm, arm
army, armee
art, kunst
attack, angriff
attempt, versuch
attention, aufmerksamkeit
attraction, attraktion
aunt, tante
authority, behörde
babies, babys
baby, baby
back, zurück
badge, abzeichen
bag, bag
bait, köder
balance, balance
ball, ball
balloon, ballon
balls, bälle
banana, banane
band, band
base, base
baseball, baseball
basin, becken
basket, korb
basketball, basketball
bat, bat
bath, bad
battle, kampf
bead, raupe
beam, breite
bean, bohne
bear, bär
bears, bären
beast, tier
bed, bett
bedroom, schlafzimmer
beds, betten
bee, biene
beef, rindfleisch
beetle, käfer
beggar, bettler
beginner, anfänger
behavior, verhalten
belief, glaube
believe, glauben
bell, glocke
bells, glöckchen
berry, berry
bike, fahrrad
bikes, fahrräder
bird, vogel
birds, vögel
birth, geburt
birthday, geburtstag
bit, bit
bite, biss
blade, klinge
blood, blut
blow, schlag
board, board
boat, boot
boats, boote
body, body
bomb, bombe
bone, bone
book, buch
books, bücher
boot, boot
border, grenze
bottle, flasche
boundary, grenze
box, box
boy, junge
boys, jungs
brain, gehirn
brake, bremse
branch, branch
brass, messing
bread, brot
breakfast, frühstück
breath, atem
brick, ziegel
bridge, brücke
brother, bruder
brothers, brüder
brush, pinsel
bubble, blase
bucket, eimer
building, gebäude
bulb, birne
bun, brötchen
burn, burn
burst, burst
bushes, büsche
business, business
butter, butter
button, knopf
cabbage, kohl
cable, kabel
cactus, kaktus
cake, kuchen
cakes, torten
calculator, rechner
calendar, kalender
camera, kamera
camp, lager
can, kann
cannon, kanonen
canvas, leinwand
cap, cap
caption, caption
car, auto
card, karte
care, pflege
carpenter, schreiner
carriage, wagen
cars, fahrzeuge
cart, cart
cast, cast
cat, cat
cats, katzen
cattle, rind
cause, ursache
cave, höhle
celery, sellerie
cellar, keller
cemetery, friedhof
cent, cent
chain, kette
chair, stuhl
chairs, sessel
chalk, kreide
chance, chance
change, ändern
channel, channel
cheese, käse
cherries, kirschen
cherry, kirsch
chess, schach
chicken, huhn
chickens, hühnchen
children, kinder
chin, kinn
church, kirche
circle, kreis
clam, clam
class, class
clock, uhr
clocks, uhren
cloth, stoff
cloud, cloud
clouds, wolken
clover, klee
club, verein
